"Date","Price","Open","High","Low","Vol.","Change %"
"04/15/2026","703.00","696.10","708.00","696.10","49.38K","0.40%"
"04/14/2026","700.20","704.00","709.00","700.20","103.27K","0.03%"
"04/13/2026","700.00","705.00","705.00","695.00","32.03K","-1.55%"
"04/10/2026","711.00","703.00","711.00","703.00","33.52K","1.12%"
"04/09/2026","703.10","708.00","709.00","703.00","69.11K","-0.41%"
"04/08/2026","706.00","700.00","710.00","700.00","117.05K","4.44%"
"04/07/2026","676.00","680.00","690.00","675.00","60.69K","-0.59%"
"04/06/2026","680.00","692.00","692.90","680.00","114.29K","-0.18%"
"04/03/2026","681.20","689.90","694.00","681.20","123.95K","-1.28%"
"04/02/2026","690.00","690.00","690.00","688.00","77.05K","-0.27%"
"04/01/2026","691.90","690.00","700.00","685.00","108.09K","1.02%"
"03/31/2026","684.90","685.00","685.50","682.00","20.93K","-0.41%"
"03/30/2026","687.70","680.00","693.80","680.00","6.40K","1.10%"
"03/27/2026","680.20","690.70","700.00","680.20","62.96K","-1.99%"
"03/26/2026","694.00","695.10","700.00","694.00","35.21K","-1.39%"
"03/25/2026","703.80","692.10","705.00","692.10","444.07K","2.00%"
"03/24/2026","690.00","710.00","710.00","690.00","220.94K","-0.29%"
"03/19/2026","692.00","700.00","700.00","690.00","72.40K","-3.20%"
"03/18/2026","714.90","700.00","714.90","697.00","50.94K","3.31%"
"03/17/2026","692.00","698.00","699.00","691.50","54.12K","0.10%"
"03/16/2026","691.30","700.00","700.00","685.10","27.34K","1.66%"
"03/13/2026","680.00","697.90","700.00","680.00","172.78K","-3.00%"
"03/12/2026","701.00","708.00","708.00","700.20","30.42K","-0.89%"
"03/11/2026","707.30","704.80","707.30","701.00","37.48K","1.77%"
"03/10/2026","695.00","700.00","708.00","695.00","163.43K","4.06%"
"03/09/2026","667.90","681.00","690.00","667.90","48.50K","-4.74%"
"03/06/2026","701.10","720.00","724.90","701.10","121.73K","-0.97%"
"03/05/2026","708.00","707.00","708.00","700.00","111.54K","3.36%"
"03/04/2026","685.00","710.00","720.00","685.00","187.97K","0.74%"
"03/03/2026","680.00","703.00","710.00","671.00","279.09K","-4.21%"
"03/02/2026","709.90","715.00","719.00","700.00","181.54K","-2.22%"
"02/27/2026","726.00","739.00","745.00","726.00","121.93K","-1.76%"
"02/26/2026","739.00","746.20","749.00","732.00","26.96K","-1.34%"
"02/25/2026","749.00","754.00","754.00","746.30","18.76K","-0.65%"
"02/24/2026","753.90","751.00","755.00","751.00","20.48K","-0.15%"
"02/23/2026","755.00","751.00","755.00","751.00","7.34K","-0.66%"
"02/20/2026","760.00","755.00","760.00","750.30","97.47K","0.00%"
"02/19/2026","760.00","750.20","760.00","750.20","143.83K","0.62%"
"02/18/2026","755.30","750.00","760.00","750.00","27.87K","0.04%"
"02/17/2026","755.00","750.00","755.00","745.20","53.62K","0.00%"
"02/16/2026","755.00","740.30","755.00","740.30","72.01K","0.67%"
"02/13/2026","750.00","740.50","755.00","740.30","112.96K","0.00%"
"02/12/2026","750.00","730.00","750.00","730.00","56.93K","2.74%"
"02/11/2026","730.00","721.00","733.00","721.00","15.19K","0.41%"
"02/10/2026","727.00","723.00","729.00","720.00","27.03K","0.00%"
"02/09/2026","727.00","725.00","731.00","720.00","3.79K","-0.55%"
"02/06/2026","731.00","723.10","731.00","715.10","169.92K","0.98%"
"02/05/2026","723.90","723.50","728.00","721.00","58.62K","-0.65%"
"02/04/2026","728.60","726.00","730.00","725.00","56.26K","0.08%"
"02/03/2026","728.00","724.10","734.00","724.00","51.27K","-0.82%"
"02/02/2026","734.00","729.50","735.00","725.00","94.69K","-0.14%"
"01/30/2026","735.00","739.00","739.00","730.10","22.80K","-0.66%"
"01/29/2026","739.90","742.00","745.00","735.60","30.02K","-0.01%"
"01/28/2026","740.00","732.10","745.00","732.10","31.43K","0.00%"
"01/27/2026","740.00","720.00","740.00","720.00","127.71K","2.76%"
"01/26/2026","720.10","724.00","729.50","718.00","48.50K","-0.73%"
"01/23/2026","725.40","731.90","731.90","725.00","56.13K","-0.63%"
"01/22/2026","730.00","721.10","735.00","721.10","34.90K","1.25%"
"01/21/2026","721.00","726.00","730.00","720.00","23.73K","-1.77%"
"01/20/2026","734.00","735.00","739.90","725.00","53.52K","-0.14%"
"01/19/2026","735.00","735.10","745.00","735.00","26.89K","-1.87%"
"01/16/2026","749.00","736.00","749.80","736.00","105.36K","0.94%"
"01/15/2026","742.00","741.00","750.00","739.10","36.59K","-0.92%"
"01/13/2026","748.90","753.00","753.00","745.00","19.46K","-0.41%"
"01/12/2026","752.00","750.00","760.00","750.00","53.10K","-1.64%"
"01/09/2026","764.50","752.20","764.90","752.20","132.71K","1.24%"
"01/08/2026","755.10","750.10","759.80","750.00","86.20K","-0.01%"
